,name,text
1945,Venus W/ Nutter Butter,Venus is our base milk stout with cold steeped dark grains. However… we wanted to have some fun with cookies! The base beer is almost lost in the flavor… Read More
1946,Medusa With Passion Fruit & Dragon Fruit,"This Sour Berliner Weisse is a cloudy sour beer bursting with fruit. And since we like our Berliners sour but not too sour, we blended this version with… Read More"
1947,Icarus W/ Golden Grahams,This Stout does not match its appearance. It is a full-bodied golden stout aged on Golden Grahams and cold steeped with coffee making it a stout that… Read More
1948,Tears of the Goddess - Double Raspberries and Vanilla,The first in a series of Sour IPA's. We first sour this beer and then hop it as a IPA right before its conditioned on Madagascar vanilla beans and Raspberries.… Read More
1949,Chimera Fruit Salad,"This sour Gose blends all the flavors of a fruit salad together. Pineapple, pink guava, passion fruit, sweet cherries, papaya, peaches, and strawberries… Read More"
1950,Longsword,This beer is the first in a series that explores blending of enormous amounts of big fluffy oats and milk sugar with a bouquet of carefully chosen hops.… Read More
1951,Tears of the Goddess Boysenberry + Black Currant,"This Sour IPA is the third in a series of beers that blend tart flavors, milk sugar, fruit, and hops. This version features boysenberry and black currant… Read More"
1952,Ares,"This Double IPA is brewed with 5 of our favorite hops including Citra, Simcoe, Centennial, Mosaic, and Amarillo. Ares has a soft mouth feel due to the… Read More"
1953,Milk of the Gods w/ Mango & Apricots,"This Milkshake IPA is the second in a series of beers that blend milk sugar, Madagascar vanilla beans, fruit, and hops. This version features mangos and… Read More"
1954,Milk of the Gods w/Strawberry Daiquiri,Milk of the gods series focuses on combining a perfect combination of hop flavor and pairing it with loads of fruit. Top the whole thing off with lactose… Read More
1955,The Kraken of Don,"This beer is an American nut brown ale that blends Marris Otter, Victory and other malts fermented with chocolate Tootsie Rolls and freshly roasted Pecans.… Read More"
1956,Strange Philosophies 102,This is the second beer in a series of exploration of flavors. We used several of our favorite hops combining them with nontraditional malts. We get candy… Read More
1957,Tears of the Goddess Soursicle,"This Sour IPA is the second in a series of beers that blend tart flavors, milk sugar, fruit, and hops. This version features blood orange puree and mini… Read More"
1958,Medusa with Blueberries & Blueberry Muffins,This Sour Berliner Weisse is a cloudy sour beer bursting with fruit. We blended this version with blueberries and blueberry muffins that help cut the… Read More
1959,Strange Philosophies 103,"This Double IPA is the third beer in a series of exploration of flavors. Strange Philosophies 103 is brewed and dry hopped with Citra, Amarillo, and Columbus… Read More"
1960,Aphrodite,"Aphrodite is the imperial version of our session milk stout. Layers of milk chocolate, malted chocolate, and cocoa nibs blend together with mild coffee… Read More"
1961,Athena,This IPA showcases the Chinook hop and blends the wise dank flavors of the West Coast IPA with the warring juicy tropical fruit flavors of the East Coast… Read More
1962,Ballista,This IPA is brewed using multiple yeast strains and heavy additions of Citra and Simcoe hops during the whirlpool & dry hopping process. It taste of ripe… Read More
1963,Siren with Blackberries & Raspberries,"Siren is our Gose that blends layers of fruit with sea salt, and a touch of milk sugar. This version adds hundreds of pounds of raspberries and blackberries… Read More"
1964,Venus S'mores,"This Milk Stout is brewed with cold steeped dark grains, graham crackers, chocolate, toasted marshmallows and FLUFF! The subtle flavors of the base beer… Read More"
1965,Shortsword,This beer is the second in a series that explores blending of enormous amounts of big fluffy oats and sweet milk sugar with a bouquet of carefully chosen… Read More
1966,OldManBearMa w/ Nelson,"Showcasing the Nelson hop, this DIPA blends Citra, Simcoe, and Warrior in harmony for your taste buds. Super juicy ripe fruit mixed with a soft pillow… Read More"
1967,Vulcan,This Wee Heavy Scotch Ale is a traditional unfiltered wee heavy scotch ale that is brewed with 4 caramel malts and a touch of chocolate. It tastes of… Read More
1968,Catapult,
1969,Artemis,"This Pale Ale is hopped with Citra, Galaxy, and Columbus hops and is packed with grapefruit, passion fruit, and floral citrus flavors. As Apollo’s sister,… Read More"
1970,Poseidon w/ Strawberries,"We took our version of a traditional cream ale, blended multiple yeast strains and hopped it prohibition style right before kissing it with real strawberries.… Read More"
1971,Cerberus Berries & Cream,"This Sour blends together the ripe raspberry, blueberry, and blackberry flavors of a fresh berry patch with creamy marshmallows to create berries and… Read More"
1972,Nyx w/Coconut,This Russian Imperial Stout is brewed by first cold steeping the roasted barley and complex malts to bring about a brownie like aroma and flavor that… Read More
1973,"Tears of the Goddess Prickly Pear, Kiwi And Hibiscus","This Sour IPA is part of our Tears of the Goddess series of beers that blend tart fruit flavors, milk sugar, and hops. This version features Prickly Pear,… Read More"
1974,Poseidon w/ Toasted Coconut,This Coconut Cream Ale is our version of a traditional cream ale brewed using multiple yeast strains that is then gently hopped prohibition style before… Read More
1975,Milk of the Gods W/ Double Vanilla,"This Milkshake IPA is part of our Milk of the Gods series of beers that blend milk sugar, Madagascar vanilla beans, fruit, and hops. This version features… Read More"
1976,Hermes,"This session IPA blends Galaxy, Citra and Nelson hops together, while keeping a light refreshing body. Layering with flavors of citrus, gooseberries,… Read More"
1977,Milk of the Gods Horchata,"This Milkshake IPA is part of our  Milk of the Gods series  of beers that blend milk sugar, Madagascar vanilla beans, fruit, and hops. This version features… Read More"
1978,Trebuchet,This IPA is the final installment of our large weapon series of IPAs. Heavy additions of Citra and Columbus hops were added during the whirlpool and dry… Read More
1979,Mnemosyne,"This Imperial Stout is was aged in a Bourbon Barrel for 8 long months. Huge notes of bourbon fade into caramel, oaky tannins, chocolate roast and vanilla… Read More"
1980,Hazel,"This bold Stout showcases freshly roasted hazelnuts, cold steeped coffee, and Vietnamese cinnamon. Big flavors shine through with coffee leading the way… Read More"
1981,Medusa - Passion Fruit,"This Sour Berliner Weisse is a cloudy sour beer bursting with fruit. And since we like our Berliners sour but not too sour, we blended this version with… Read More"
1982,Venus,
1983,Zeus,"Orange in color and cloudy in appearance this beer promises the taste of ripe oranges mixed with a bouquet of grapefruit, passion fruits and other tropical… Read More"
1984,Strange Philosophies 101,"Strange Philosophy is the first beer in a series of exploring hops. Too often, we become complacent and forget to push the boundaries and search the unending… Read More"
1985,OldManBearMa w/ MoTuEka,"Showcasing the Motueka hop, this DIPA blends Citra, Simcoe, and Warrior in harmony for your taste buds. Super juicy with an insane dry hop flavor. Read More"
1986,"Medusa With Passion Fruit,Dragon Fruit, Raspberries","This Sour Berliner Weisse is a cloudy sour beer bursting with fruit. And since we like our Berliners sour but not too sour, we blended this version with… Read More"
1987,Siren Margarita,"Siren is our base Gose beer that is brewed with salt and coriander. This version has 4% lime, salt, and agave bring you straight to the beach. Can't you… Read More"
1988,From Hawaii With Love,"What happens when you mix Love with 1 pound of Kona Coffee, 2 pounds of Toasted Coconut, and 5 pounds of Pineapple puree in a golden stout? Another collaboration… Read More"
1989,Fortuna,"Conditioned on top of Graham Crackers and Madagascar vanilla beans, this porter is creamy silky smooth with vanilla upfront and finishes with biscuit… Read More"
1990,Venus W/ Oreo Cookies,
1991,Blonde 3 Ways Coffee Cake,"Blonde 3 Ways Coffee Cake is a Golden Coffee Stout. Boasting great mouthfeel. It merges the flavor of vanilla, cinnamon, lactose, and coffee if perfect… Read More"
1992,Venus W/ Coconut,
1993,Medusa With Raspberry,It has been said that looking at Medusa will turn you to stone! We like our Berliner sour but not quite that much. So we have aged this version on raspberries… Read More
1994,Blonde 3 Ways Orange Is the New Blonde,"Blonde 3 Ways Coffee Cake is a Golden Coffee Stout. Boasting great mouthfeel. It merges the flavor of sweet orange peels, peppers, and of course coffee.… Read More"
1995,Blonde 3 Ways Tiramisu,"Blonde 3 Ways Coffee Cake is a Golden Coffee Stout. Boasting great mouthfeel. It merges the flavor of Cocoa nibs, Lady Finger Cookies, Vanilla, and of… Read More"
1996,Freyerbacher With Coconut And Vanillia,
1997,Milky Tears,"One part Milk of the Gods.
One part Tears of goddess.
Tart Raspberry Peach Guava Milkshake IPA."
1998,Vicarus,"Venus Nutter Butter Milk Stout cuveed with Icarus Golden Coffee Stout conditioned on Golden Grahams. Sweet, roasty, nutty, cinnamon, coffee delicious.… Read More"
1999,Milk of the Gods W/ Prickly Pear + Hibiscus + Kiwi,
2000,Hydra with Passion Fruit + Mango + Peach,"This Fruited Sour blends passion fruit, mangoes, and peaches together to form just one of this monster’s many heads. Keep your eyes peeled for even more… Read More"
2001,MC²,MC² is Photon’s big brother. We literally took Photon’s hopping rate and squared it. This DIPA is our tribute to the amazing relationship that energy… Read More
2002,Vulgar Display of Flower,Vulgar Display of Flower is a tribute to an aggressive yet balanced assault on the senses. It blends East meets West coast DIPA with our own Equilibrium… Read More
2003,Fluctuation,"Departures from Equilibrium are known as fluctuations. It pours a very hazy tangerine color, releasing bright tropical notes of passion fruit, mango,… Read More"
2004,Photon,"Photon is our light and crushable American Pale Ale loaded with pacific northwest hops. It pours a very hazy orange, releasing well-blended notes of apricot,… Read More"
2005,Sexual Fluctuation,Sexual Fluctuation is a Citra/Galaxy blend (incorporating the same tweaks to the last batch of Fluctuation). It pours a hazy tangerine orange and releases… Read More
2006,Harvester of Simcoe,"Harvester of Simcoe has aromas of passion fruit, bright pine, berry, and earth, followed by some bready notes. The taste is a creamy pine flavor supported… Read More"
2007,dHop2,dHop2 is a DIPA that investigates the interplay between our ale strain and an intensive Mosaic and Citra forward hop bill woven four times into its creative… Read More
2008,Mmm...Osa,"Mmm… Osa is our beloved Photon American Pale Ale conditioned on freshly zested oranges at a rate of 6 oranges per barrel. It is everything photon is,… Read More"
2009,There and Back Again,"There And Back Again is a tale of a spontaneous fermentation, isolation, confiscation, rejuvenation, mutation, and finally perturbation. This sour American… Read More"
2010,dHop4,dHop4 is a blend of SIX different hops that were woven into its creative process along with a healthy dose of wheat to help interact with this lupulin… Read More
2011,Fractal Citra/Mosaic,"Fractal Citra/Mosaic investigates the interplay between Citra, Mosaic, and our slightly revised processes. Fractal Citra & Mosaic pours a resinous-hazy-straw… Read More"
2012,dHop5,"dHop5 is a 8.0% DIPA that supersizes one of our favorite Equilibrium IPAs: Fractal Citra/Galaxy. We scaled Fractal’s grain bill, water treatment, fermentation,… Read More"
2013,Fractal Simcoe,"Fractal Simcoe pours hazy-straw yellow releasing aromas of passion fruit, bright pine, berry, and earth, followed by some bready notes. The taste is a… Read More"
2014,Dream Wave Fluctuation,Think of a galaxy forward Fluctuation plus Other Half's Dream treatment. A fluctuation from beta brain waves to alpha and theta waves shifts your consciousness… Read More
2015,dHop1,dHop1 is our 8.5% DIPA with an intense mosaic forward hop bill. This is the second release of this beer and we’re very excited about this batch. Applying… Read More
2016,dHop6,MC² (aka “Strangers in the Morning”) is a very important beer to us at Equilibrium. We are very happy with the balance of flavor and drinkability and… Read More
2017,Fractal Mosaic,Fractal Mosaic is the first release from our small-batch Research Series. A fractal is something simple at the core yet can produce wonderful and amazingly… Read More
2018,Can It Be All So Simple,Brewed with Galaxy and Mosaic. Our friend Brandon from The Answer came up to brew with us. We shared unique brewing philosophies and made them synergistic… Read More
2019,dHop8,dHop8 is one of our most ambitious experiments to date. We created a parameter space to maximize organoleptic hop oils in the glass. As a result of this… Read More
2020,Photon Citrus,"Photon Citrus is our beloved Photon American Pale Ale conditioned on fresh grapefruit, lime, lemon, tangerine, and orange zest. It is everything photon… Read More"
2021,Fractal Galaxy,A very simple grain bill combined with our house ale yeast and simple hop selection produces a very complex and drinkable beer.
2022,Energy Wave,We are thrilled with Dream Wave Fluctuation. We revisited the Wave treatment with one of our favorite beers by paying tribute to the other side of the… Read More
2023,Even More Waves,Collaberation with Evil Twin Brewing
2024,Fractal Citra,"Fractal Citra pours a hazy-straw yellow releasing aromas of bright tropical passion fruit, pineapple, lychee, and hint of mango (complex). The taste is… Read More"
2025,Straight Outta the Laboratory,
2026,dHop9,Think dHop5 but with another one of our favorite hop combos from the fractal series: Citra and Mosaic. dHop9 is a DIPA that supersizes one of our favorite… Read More
2027,Möbius,We’ve gone through great lengths to refine the process to yield a Rich and Creamy Flavor and mouth feel to show case the decadent flavors yet leave the… Read More
2028,Hop Wave 2,"Hop Wave 2 takes one of our favorite DIPAs, dHop2, supersizes the hop charge and adds a touch of lactose. We mentioned during the dHop14/and Hop Wave… Read More"
2029,dHop10,"dHop10 is a 8.5% DIPA using a blend of FOUR different hops while utilizing the same grain bill as dHop5. This flavor profile exudes pineapple, pear and… Read More"
2030,Lucid Dream Wave,Equilibrium / Other Half collaboration released 11/21/2018
2031,Aquila,Aquila is the scientific (latin) name for true eagle and the constellation of the eagle that delivered the lightening bolt to the thunder god. Kyle came… Read More
2032,Fractal Citra/Galaxy,"Fractal Citra/Galaxy pours hazy-straw yellow releasing aromas of passion fruit, peach, guava, and tropical fruits. The taste is a chewy and creamy tropical… Read More"
2033,dHop11,"dHop11 showcases a continuing commitment to hop exploration and dedication to our creative process. For this recipe, we used a new blend of SIX different… Read More"
2034,Dream Lab,"Aromas of passion fruit, lime, peach and pineapple all integrated with a bright citrus backdrop."
2035,Fractal Ekuanot,"Fractal Ekuanot pours hazy-straw yellow releasing aromas of melon, berry, lime, and papaya, followed by some bright earth. The taste is a creamy melon-berry… Read More"
2036,Fractal Vic Secret,"Fractal Vic Secret pours hazy-straw yellow releasing aromas of pineapple, pine and passionfruit. The taste is fruity, clean and earthy with a light bitterness.… Read More"
2037,Casey,"Casey is a farmhouse ale built by the inspiration to share beer with people close to heart. She is pale, tart, delicate, complex with a bit of pleasant… Read More"
2038,Harvester of Waves,
2039,dHop12,"dHop12 is our 8.2% Amarillo/Citra DIPA. Dhop12 is packed with hop oils and pours a very hazy tangerine releasing notes of orange/pineapple, peach, and… Read More"
2040,#4Science2,Released alongside #4Science3. Science requires large amounts of unbiased data so we’re going to do this release a little differently. Rather than give… Read More
2041,#4Science3,Released alongside #4Science2. Science requires large amounts of unbiased data so we’re going to do this release a little differently. Rather than give… Read More
2042,Fractal Mosaic/Galaxy,"We enjoyed both brewing and consuming our Answer collaboration ""Can It Be All So Simple"" so much, we wanted to see how that hop combo would work with… Read More"
2043,Fractal Enigma/Citra,
2044,Control Volume,
2045,EQM,A solution at equilibrium takes a bit of everything we’ve developed to create balance of massive complex flavor and drinkability.
2046,Fractal El Dorado + Citra,
2047,Fractal Citra/Simcoe,"Fractal Citra/Simcoe pours hazy-straw yellow releasing aromas of pine, passion fruit and pineapple followed by some bready notes. The taste is resinous… Read More"
2048,Master of Pellets,"Master of Pellets has a multilayered hop profile with an aroma of bright pineapple, orange peel and melon. It’s taste is pillowy pineapple, citrus, bright… Read More"
2049,Flux,
2050,Tachyon,"Tachyon is a theoretical particle that’s a bit more than a Photon. To turn theoretical physics into reality, we took Photon and upped the ABV to 5.5%… Read More"
2051,#4Science1,#4Science1 starts with our best practices we know to date and a citra forward hop bill. This will serve as our base case for the series. We taste bright… Read More
2052,dHop7,"dHop7 is a blend of FIVE different hops that showcases Vic Secret, a first for the series. This flavor profile exudes guava, papaya and lime with faint… Read More"
2053,Da Mystery of Chinook,"Hops are like a game of chess. We move our pieces by continually refining, experimenting, and looking for ways to improve our concentrations of hop deliciousness… Read More"
2054,dHop3,"dHop3 is a 8.5% DIPA that investigates the interplay between our fermentation and an intensive Mosaic, Citra, and Galaxy forward hop bill woven four times… Read More"
2055,Dhop15,"Pours an opaque bright yellow and has an aroma of melon and tropical fruit. Upon tasting, you get a taste of white wine, papaya, and dankness as well… Read More"
2056,Middletown Murk,"To celebrate the start of our taproom journey, we want to thank to the city of Middletown and its inhabitants for being so supportive of us producing… Read More"
2057,There and Back Again Apricots and Peaches,"There And Back Again is a tale of a spontaneous fermentation, isolation, confiscation, rejuvenation, mutation, and finally perturbation. This sour American… Read More"
2058,Old Denali Bastard,Denali is a hop that we’ve had interest in for sometime. Our local line sheriff brought this name up as a joke a few weeks ago… and well… sometimes we… Read More
2059,Pump the Brakes,"We loved Even More Unbalanced so much that we decided to pump the brakes on it and scale this TIPA down to a DIPA. The same blend of Citra, Galaxy, Denali,… Read More"
2060,Straight Outta Middletown,Straight out of Middletown is dHop2's big brother. dHop2 is a DIPA that investigates the interplay between our ale strain and an intensive Mosaic and… Read More
2061,New York State of Mind,Collab with 3 Sons Brewing
2062,Harvester of Science,We took our Head Brewer’s favorite beer recipe and process and blended in two of our favorite new-school hops to give birth to a new beer: Harvester of… Read More
2063,The Beast Arise Like Yeast,Honey malt with a blend of 5 different hops. Collaboration with Safety Team
2064,Perturbation Citra,"The Perturbation series starts with a complex malt bill, water treatment, and fermentation that we consider at “Equilibrium” and makes a simple change… Read More"
2065,Fool’s Equipoise,In collaboration with the bar Fool’s Gold
2066,dHop0,We are undertaking a large but worthwhile endeavor at Equilibrium. All of our yeast and bacteria are proprietary and privately banked. We have been shifting… Read More
2067,Miami BerlinerVice,"Miami BerlinerVice was inspired by the upcoming sequel of the Matrix IV: Morpheus Gets Sassy. We took or introductory wild ale, Welcome To The Jungle,… Read More"
2068,Raining Belma,
2069,dHop13,"dHop13 is a DIPA that explores a single new hop. dhop13 pours a glowing hazy tangerine releasing notes of pineapple, earth, lime, and mango. The flavor… Read More"
2070,Shook Ones,Ain’t no such thing as half way Facebook... This beer was brewed as a reminder to us all to promote unity in the beer community and also to not take things… Read More
2071,A New Level of Science And Flower,"At 9 lbs/bbl of hops, this new level of hopping makes this the hoppiest beer to date at EQ. This naturally had to be added to our metal series. This is… Read More"
2072,Adrestia,"Grain bill loaded with wheat and oats. Hopped with citra, belma and galaxy. Aromas of peaches, tropical fruit and a touch of strawberry."
2073,Mass Fluxes,Refreshing and smooth
2074,Hop Wave 5,
2075,Perturbation Mosaic,"The Perturbation series starts with a more complex malt bill, water treatment, and fermentation that we consider at “Equilibrium” and makes a simple change… Read More"
2076,Morning Haze,"Morning Haze is an aggressively hopped Galaxy and Mosaic DIPA with wheat and oats (think our Answer collab ""Can It Be All So Simple"" with a touch of bread).… Read More"
2077,Hop Wave 14,"Heavy mouth feel, juicy with pineapple coming through strong."
2078,Tomorrow,Tomorrow is a delicate 4.0% Citra and Mosaic American Pale Ale ale with a hefty dose of oats designed for a balance of immediate consumption at plans… Read More
2079,Austin Boysenberry,"We have been continually testing and refining our farmhouse fermentations and processes to bring you Austin Boysenberry, which is one of the finest farmhouse… Read More"
2080,Here And Now Blackberry/Raspberry/Boysenberry,Here and Now is our second collaborative series with Dr. Jason Rodriguez. The philosophy behind this beer is to create a wonderful drinking experience… Read More
2081,Beard of Jupiter,Jupiter is known as the Roman god of lightning. It’s also the city in Florida that Civil Society calls home. Around the time we were working out logistics… Read More
2082,Fluctuation Wave,"Fluctuation Wave (8.5 % DIPA) takes our beloved DIPA Fluctuation, supersizes the hop bill, adds a touch of lactose, and uses our revised hop process.… Read More"
2083,Hop Wave 4,Hop Wave 4 is a blend of six different hops woven together with a healthy dose of wheat and oats adding just a touch of lactose.
2084,Welcome To the Jungle,Welcome To The Jungle is our introductory wild wheat ale inspired by the idea of introducing more people to this enjoyable style of beer. Using a wheat… Read More
2085,General Relativity,"General Relativity is our study of gravity. General Relativity’s final gravity is higher than photons initial gravity. This boosts mouthfeel and body,… Read More"
2086,There And Back Again Plum,"There And Back Again is a tale of a spontaneous fermentation, isolation, confiscation, rejuvenation, mutation, and finally perturbation. This sour American… Read More"
2087,Fractal Motueka/Citra,
2088,Dhop14,
2089,There And Back Again Blackberry,"There And Back Again is a tale of a spontaneous fermentation, isolation, confiscation, rejuvenation, mutation, and finally perturbation. This sour American… Read More"
2090,There And Back Again Cherry,"There and Back Again is a tale of a spontaneous fermentation, isolation, confiscation, rejuvenation, mutation, and finally perturbation. This sour American… Read More"
2091,Casey Passionfruit,"Casey Passionfruit is a sour farmhouse ale built by the inspiration to share beer with people close to heart. She is pale, sour, delicate, and complex… Read More"
2092,There And Back Again Raspberry,"There and Back again is a tale of a spontaneous fermentation, isolation, confiscation, rejuvenation, mutation, and finally perrurbation. This sour American… Read More"
2093,There And Back Again Peach,"There and Back Again is a tale of a spontaneous fermentation, isolation, confiscation, rejuvenation, mutation, and finally perturbation. This sour American… Read More"
2094,There And Back Again Guava/Passionfruit,"There and Back Again is a tale of a spontaneous fermentation, isolation, confiscation, rejuvenation, mutation, and finally perturbation. This sour American… Read More"
2095,There And Back Again Pineapple,"There and Back Again is a tale of a spontaneous fermentation, isolation, confiscation, rejuvenation, mutation, and finally perturbation. This sour American… Read More"
2096,There And Back Again Blueberry,"There and Back Again is a tale of a spontaneous fermentation, isolation, confiscation, rejuvenation, mutation, and finally perturbation. This sour American… Read More"
2097,Austin Plum,"Austin is a farmhouse ale built by the inspiration to share beer with people close to heart. It is pale, tart, delicate, and complex with a bit of pleasant… Read More"
2098,Raining Belma From A Lactose Sky,
2099,Special Relativity,"Special Relativity is a special case of General Relativity, which focuses more on time (and space) as opposed to gravity. To pay homage to this theory,… Read More"
2100,There And Back Again Mango,"There and Back Again is a tale of a spontaneous fermentation, isolation, confiscation, rejuvenation, mutation, and finally perturbation. This sour American… Read More"
2101,There And Back Again Blackberry/Raspberry,"There and Back Again is a tale of a spontaneous fermentation, isolation, confiscation, rejuvenation, mutation, and finally perturbation. This sour American… Read More"
2102,The Middletown Project,
2103,M-o-t-u-e-k-a Man,
2104,Unlikey Foragers,Beer is community. A team of likely friends gathered in an unlikely location to forage dandelion blossoms for Equilibrium’s first collaborative brew with… Read More
2105,Special Relativity 2,
2106,DC/dt,
2107,I Eat General Relativity For Breakfast,Breakfast stout
2108,Paradise City,"Aged on Dragon Fruit, Pink Guava and Mango."
2109,Breakfast Time Is Relative,"Special Relativity with Coffee, Maple, and Lactose"
2110,Mobius Breakfast,Coffee/Maple/Lactose
2111,Unlikely Foragers Single Thread,"We blended the majority of Unlikely Foragers with base Austin to add depth and complexity. As an experiment, we bottled 200 of the unblended base and… Read More"
2112,Time To Wake Up,Special Relative with Coffee.
2113,Perturbation Simcoe,
2114,Mobius Coffee,
2115,DDH Tachyon,Double Dry Hopped version
2116,Pilot Stout (11/29),
2117,French Press,
2118,Double Obsession,
2119,Simple Math,
2120,Complex Math,
2121,Sundial,Deliscious IPA
2122,Cryptic Demands,
2123,Emergence With Black Currants,
2124,Color Bars,
2125,Assent,
2126,Stablemate,
2127,Quartet #16,
2128,Quartet #15,Delicious blend of several hops
2129,Oude Rouge,
2130,Midnight,
2131,Realism,
2132,Celebrity,
2133,Emergence With Raspberries,
2134,Midnight With Coffee,Imperial stout aged in Hillrock Rye Barrels
2135,Emergence With Cherries,
2136,Emergence With Concord Grapes,
2137,Quartet #3,
2138,Quartet #2,
2139,Jonge Bruin,Ale with cherries
2140,Quartet #14,Single hop Citra IPA
2141,Emergence With Plums,Plum flavored. Yeeeeee
2142,Bu Weisse,"Spontaneously fermented interpretation of the Berliner Weisse style. Light, sour wheat beer."
2143,Petit Desay,
2144,Hose,Dry-hopped gose style ale. Aged in oak barrels with Coriander and Citrus Peel
2145,Special Rouge,Wild red ale aged in oak with raspberries and cherries.
2146,Nectarine Premiére,A Wild Farmhouse Ale Aged in Oak Barrels With Nectarines
2147,With Friends Like These,"A Wild Ale fermented & aged in oak with late harvest Muscat grapes. Brewed & blended by de Garde Brewing in Tillamook, Oregon with special help from our… Read More"
2148,The Purple,Aged in Oak Wine Barrels with black & red raspberries
2149,Saison Premiere,Wild farmhouse ale aged in oak wine barrels.
2150,Peach Bu,A Berliner Weisse Style Ale Aged in Oak Barrels With Peaches.
2151,Petit Blanc,Oak-aged tart farmhouse ale with Riesling grapes.
2152,Anián,Wild farmhouse ale aged in oak tank with fruit added
2153,Anianish,A wild farmhouse ale aged in oak with fruit and spices
2154,Oude Desay,"A wild farmhouse blend, composed of three different years of oak barrel and oak tank matured Petit Desay batches. This presents expressive fruit character… Read More"
2155,Nelson Hose,
2156,Saison Facile,
2157,Cherry Raz Bu,
2158,The Peach,"A golden wild ale aged in Cognac barrels. After extended aging, this was transfered into oak tank and refermented with Oregon Peaches."
2159,Imperial Stone Bu,A Berliner Weisse Style Ale Aged in Oak Barrels With Peaches & Apricots
2160,Grand Blanc,A golden rye wild ale aged in oak with riesling grapes
2161,Boysenberry Bu,A Berliner Weisse style ale aged in Oak Barrels with Boysenberries
2162,Saison Mélange No. 3,Saison Mélange No.3 - A Blended Wild Farmhouse Ale Aged in Oak Gin & Vermouth Barrels. ALC 7.2% BY VOL
2163,Imperial Purple Raz Bu,Aged in oak barrels with black & red raspberries.
2164,The Lucy,Lambic inspired with muscat grapes
2165,Stone Bu,
2166,Petit Azacca,a tart farmhouse style ale aged in oak barrels & dry hopped
2167,Incandenza,"Sour IPA brewed w/ two row barley and raw white wheat, hopped with Citra and Simcoe in the whirlpool."
2168,Mirrorshield,"Sour IPA with raw wheat, malted oat, milk sugar, Lychee, chamomile & lavender — hopped with Mosaic"
2169,Amorphia,"Sour IPA w/ raw wheat, malted oat, milk sugar, strawberries & vanilla beans; hopped w/ Mosaic & El Dorado."
2170,Peach Silhouette,"Brunch-Style Sour IPA with peaches, and Mosaic & Citra hops"
2171,Pillow Hat,Little IPA with Citra & Motueka
2172,Tangerine Silhouette,"Brunch-Style Sour IPA with tangerines, and Mosaic & Citra hops"
2173,Subglitch,"Sour IPA with raw wheat, malted oat, milk sugar, local wildflower honey & grapefruit, hopped with Motueka."
2174,Graven Image,"Sour DIPA with raw wheat, malted oat, milk sugar, green tea & lime, hopped with Motueka."
2175,Star Chamber,"Sour IPA with raw wheat, malted oat, milk sugar, green tea, papaya & coconut — hopped with Simcoe."
2176,Total Internal Reflection,"Sour IPA with a heavy addition of flaked oat and malted oat, milk sugar, hopped with Citra and Azacca."
2177,Multichorus,"Sour IPA with raw wheat, malted oat, milk sugar, white chocolate, vanilla & cardamom, hopped with Citra powder."
2178,Babylon,"Sour IPA with raw wheat, malted oat, milk sugar & blood oranges — hopped with Galaxy."
2179,Ultrasphere,"Sour IPA w/ milk sugar, raspberries & vanilla beans, hopped w/ Citra, Simcoe & Mosaic powder."
2180,Apotheosis,"Sour IPA with raw wheat, malted oat, milk sugar, almonds, cinnamon & vanilla — hopped w/ Citra powder."
2181,Holy Icon,"Sour DIPA with raw wheat, malted oat, milk sugar, passionfruit & vanilla beans, hopped with Mosaic & El Dorado."
2182,Bloom,"Sour DIPA with raw wheat, malted oat, milk sugar, cherries, dark chocolate & chamomile — hopped with Citra and Simcoe powder."
2183,Amulet-SIPA,"Sour IPA with raw wheat, malted oat, milk sugar, blueberries and hibiscus flowers — hopped with Mosaic and Citra."
2184,Syzygy,"Sour DIPA with raw wheat, malted oat, milk sugar, blackberries, hibiscus flowers & vanilla bean; hopped w/ Azacca."
2185,Moonwake,"Sour Black DIPA with raw wheat, malted oat, black malt, milk sugar, dark chocolate, and raspberries; hopped w/ Azacca."
2186,Horizon Loop,"Sour DIPA with raw wheat, malted oat, milk sugar, apricots & lemon myrtle; hopped w/ Simcoe powder."
2187,Demiurge,"Tiki-Style Sour DIPA with raw wheat, malted oat, milk sugar, blackstrap molasses, pineapple, lime puree, and almonds — hopped with Mosaic and Azacca. Read More"
2188,Plumage,"Sour DIPA with raw wheat, malted oat, milk sugar, ruby red grapefruit, white chocolate & peppermint — hopped with El Dorado and Azacca."
2189,Empyrean,"Double Dry-hopped Sour IPA with raw wheat, malted oat, milk sugar, Citra and Galaxy hops."
2190,Enthxxgxn,"Sour DIPA with raw wheat, malted oat, milk sugar, passionfruit, strawberries, and orange peel — hopped with El Dorado."
2191,Hyperlight,"DDH IPA w/ raw wheat & malted oat, hopped w/ Citra & Mosaic powder."
2192,Strawberry Banana Silhouette,"Brunch-Style Sour IPA with strawberry and banana, hopped with Citra and Mosaic"
2193,Holocene,"Sour IPA with raw wheat, malted oat, milk sugar, mango purée and vanilla beans — hopped with Mosaic and Azacca."
2194,Hiding Place,"Sour IPA with raw wheat, malted oat, milk sugar, Muscat grapes, orange zest, & rosemary; hopped w/ Azacca and Mosaic."
2195,Fauna,"Sour IPA with raw wheat, malted oat, milk sugar, kiwifruit & lime purée, and hibiscus — hopped with Galaxy and Mosaic."
